teo,entry_date,exit_date,q_len,n_names,gross_lagged,gross_unlagged,spy_lagged_window
2013-09-30,2013-11-14,2014-02-14,1.01,18,0.011443,0.102851,0.032070
2013-12-31,2014-02-14,2014-05-15,0.99,17,0.015331,-0.020553,0.022860
2014-03-31,2014-05-15,2014-08-14,1.00,17,0.012339,0.031512,0.049614
2014-06-30,2014-08-14,2015-02-17,2.05,18,-0.004450,0.014494,0.084273
2014-12-31,2015-02-17,2015-05-15,0.95,19,0.019715,-0.045319,0.015602
2015-03-31,2015-05-15,2015-11-16,2.03,19,-0.085854,-0.060282,-0.022337
2015-09-30,2015-11-16,2016-02-16,1.01,19,-0.059766,0.021862,-0.071544
2015-12-31,2016-02-16,2016-05-16,0.99,20,0.120442,0.031987,0.095195
2016-03-31,2016-05-16,2016-08-15,1.00,21,0.036520,-0.004861,0.065044
2016-06-30,2016-08-15,2016-11-14,1.00,22,0.003715,0.030208,-0.006417
2016-09-30,2016-11-14,2017-02-14,1.01,22,0.095002,0.059412,0.085356
2016-12-31,2017-02-14,2017-05-15,0.99,22,0.007345,0.075249,0.032715
2017-03-31,2017-05-15,2017-08-14,1.00,22,0.043937,0.027664,0.030971
2017-06-30,2017-08-14,2017-11-14,1.01,22,0.060415,0.040707,0.050574
2017-09-30,2017-11-14,2018-02-14,1.01,22,0.009327,0.075490,0.051365
2017-12-31,2018-02-14,2018-05-15,0.99,23,0.026807,-0.027440,0.009628
2018-03-31,2018-05-15,2018-08-14,1.00,23,0.090773,0.058922,0.051916
2018-06-30,2018-08-14,2018-11-14,1.01,22,-0.036477,0.139521,-0.043949
2018-09-30,2018-11-14,2019-02-14,1.01,23,-0.040803,-0.188095,0.021402
2018-12-31,2019-02-14,2019-05-15,0.99,22,0.095913,0.151460,0.043501
2019-03-31,2019-05-15,2019-08-14,1.00,22,0.054880,0.073007,0.000773
2019-06-30,2019-08-14,2019-11-14,1.01,22,0.141773,0.065878,0.095383
2019-09-30,2019-11-14,2020-02-14,1.01,24,0.175223,0.170446,0.095977
2019-12-31,2020-02-14,2020-05-15,1.00,24,-0.176355,-0.193235,-0.147029
2020-03-31,2020-05-15,2020-08-14,1.00,24,0.355029,0.293342,0.181789
2020-06-30,2020-08-14,2021-02-16,2.04,22,0.161385,0.377341,0.174295
2020-12-31,2021-02-16,2021-05-17,0.99,23,0.017121,-0.028753,0.062658
2021-03-31,2021-05-17,2021-11-15,1.99,23,0.150135,0.130332,0.132224
2021-09-30,2021-11-15,2022-02-14,1.00,23,0.078542,0.178476,-0.057473
2021-12-31,2022-02-14,2022-05-16,1.00,22,-0.117478,0.000499,-0.085844
2022-03-31,2022-05-16,2022-08-15,1.00,22,0.143693,-0.192854,0.076539
2022-06-30,2022-08-15,2022-11-14,1.00,22,-0.111823,-0.017248,-0.074888
2022-09-30,2022-11-14,2023-02-14,1.01,23,0.048140,0.003509,0.049138
2022-12-31,2023-02-14,2023-05-15,0.99,23,0.068873,0.190199,0.004717
2023-03-31,2023-05-15,2023-08-14,1.00,23,0.044364,0.133068,0.089017
