teo,entry_date,exit_date,q_len,market,sector,subsector,idio,gross
2013-09-30,2013-11-14,2014-02-14,1.01,0.028421,-0.017077,0.003793,-0.003109,0.011443
2013-12-31,2014-02-14,2014-05-15,0.99,0.020833,0.009203,-0.008315,-0.006257,0.015331
2014-03-31,2014-05-15,2014-08-14,1.00,0.044100,-0.005033,0.000274,-0.025453,0.012339
2014-06-30,2014-08-14,2015-02-17,2.05,0.074603,0.023575,0.000453,-0.096098,-0.004450
2014-12-31,2015-02-17,2015-05-15,0.95,0.014528,-0.000899,0.000997,0.005134,0.019715
2015-03-31,2015-05-15,2015-11-16,2.03,-0.022414,0.010026,-0.003539,-0.071312,-0.085854
2015-09-30,2015-11-16,2016-02-16,1.01,-0.059728,0.023473,-0.001413,-0.025698,-0.059766
2015-12-31,2016-02-16,2016-05-16,0.99,0.074550,0.000094,-0.007018,0.050572,0.120442
2016-03-31,2016-05-16,2016-08-15,1.00,0.053708,-0.003863,0.002483,-0.014393,0.036520
2016-06-30,2016-08-15,2016-11-14,1.00,-0.004958,0.004677,-0.000618,0.004507,0.003715
2016-09-30,2016-11-14,2017-02-14,1.01,0.078967,0.010500,-0.001390,0.005520,0.095002
2016-12-31,2017-02-14,2017-05-15,0.99,0.031688,0.005013,-0.005530,-0.022007,0.007345
2017-03-31,2017-05-15,2017-08-14,1.00,0.029344,0.001400,0.002643,0.010275,0.043937
2017-06-30,2017-08-14,2017-11-14,1.01,0.048124,-0.002611,-0.002476,0.017437,0.060415
2017-09-30,2017-11-14,2018-02-14,1.01,0.051022,-0.002384,-0.000447,-0.038008,0.009327
2017-12-31,2018-02-14,2018-05-15,0.99,0.008501,-0.005666,-0.001035,0.024248,0.026807
2018-03-31,2018-05-15,2018-08-14,1.00,0.049867,-0.000328,0.005481,0.033293,0.090773
2018-06-30,2018-08-14,2018-11-14,1.01,-0.041877,-0.008292,-0.002419,0.016965,-0.036477
2018-09-30,2018-11-14,2019-02-14,1.01,0.024486,0.002980,-0.025118,-0.039418,-0.040803
2018-12-31,2019-02-14,2019-05-15,0.99,0.045387,0.023788,0.010095,0.013451,0.095913
2019-03-31,2019-05-15,2019-08-14,1.00,-0.000791,0.015123,0.003876,0.035721,0.054880
2019-06-30,2019-08-14,2019-11-14,1.01,0.106654,0.002392,-0.002893,0.030567,0.141773
2019-09-30,2019-11-14,2020-02-14,1.01,0.113070,0.022209,0.019399,0.014545,0.175223
2019-12-31,2020-02-14,2020-05-15,1.00,-0.208442,0.058742,0.013068,-0.039034,-0.176355
2020-03-31,2020-05-15,2020-08-14,1.00,0.200902,0.009043,0.009209,0.109957,0.355029
2020-06-30,2020-08-14,2021-02-16,2.04,0.200203,0.006166,-0.032358,-0.020961,0.161385
2020-12-31,2021-02-16,2021-05-17,0.99,0.072790,-0.067300,0.017191,0.000795,0.017121
2021-03-31,2021-05-17,2021-11-15,1.99,0.157579,0.038803,0.003319,-0.044953,0.150135
2021-09-30,2021-11-15,2022-02-14,1.00,-0.067344,0.016251,0.012551,0.124211,0.078542
2021-12-31,2022-02-14,2022-05-16,1.00,-0.095552,-0.015538,-0.007446,-0.002803,-0.117478
2022-03-31,2022-05-16,2022-08-15,1.00,0.086692,0.012346,-0.005516,0.044850,0.143693
2022-06-30,2022-08-15,2022-11-14,1.00,-0.083879,-0.013363,-0.014344,-0.003984,-0.111823
2022-09-30,2022-11-14,2023-02-14,1.01,0.056646,0.016397,0.002344,-0.025172,0.048140
2022-12-31,2023-02-14,2023-05-15,0.99,0.003085,0.031559,0.036652,-0.006478,0.068873
2023-03-31,2023-05-15,2023-08-14,1.00,0.101397,-0.001691,0.002824,-0.053702,0.044364
