report_date,map_coverage,improving_weight,A_1_10_Leading_contrib,A_1_10_Leading_weight,A_1_10_Leading_ret,A_1_10_Improving_contrib,A_1_10_Improving_weight,A_1_10_Improving_ret,A_1_10_Weakening_contrib,A_1_10_Weakening_weight,A_1_10_Weakening_ret,A_1_10_Lagging_contrib,A_1_10_Lagging_weight,A_1_10_Lagging_ret,E_45_55_Leading_contrib,E_45_55_Leading_weight,E_45_55_Leading_ret,E_45_55_Improving_contrib,E_45_55_Improving_weight,E_45_55_Improving_ret,E_45_55_Weakening_contrib,E_45_55_Weakening_weight,E_45_55_Weakening_ret,E_45_55_Lagging_contrib,E_45_55_Lagging_weight,E_45_55_Lagging_ret
2013-09-30,0.939212,0.045048,0.008278,0.570460,0.014511,0.002092,0.044390,0.047123,0.004596,0.254702,0.018045,0.001058,0.073325,0.014426,0.003242,0.570460,0.005684,-0.000796,0.044390,-0.017930,0.006010,0.254702,0.023598,-0.000831,0.073325,-0.011327
2013-12-31,0.947626,0.000000,0.003300,0.438195,0.007531,0.000000,0.000000,,0.004762,0.189279,0.025160,-0.002144,0.322841,-0.006640,-0.003227,0.438195,-0.007364,0.000000,0.000000,,-0.007895,0.189279,-0.041711,-0.001967,0.322841,-0.006091
2014-03-31,0.951145,0.198270,-0.013757,0.398867,-0.034489,-0.005139,0.200573,-0.025619,-0.014972,0.354888,-0.042187,0.000000,0.000000,,0.012321,0.398867,0.030890,0.004700,0.200573,0.023433,0.005528,0.354888,0.015577,0.000000,0.000000,
2014-06-30,0.938419,0.269452,0.003681,0.274773,0.013395,0.001276,0.267183,0.004777,-0.000524,0.013002,-0.040330,0.000900,0.385752,0.002333,-0.003955,0.274773,-0.014392,-0.000172,0.267183,-0.000643,-0.000198,0.013002,-0.015254,-0.002539,0.385752,-0.006583
2014-09-30,0.925675,0.200688,-0.009589,0.171503,-0.055909,-0.009122,0.204047,-0.044704,-0.020511,0.327228,-0.062680,-0.016415,0.224110,-0.073246,-0.003484,0.171503,-0.020312,-0.005102,0.204047,-0.025004,-0.013973,0.327228,-0.042700,-0.007579,0.224110,-0.033820
2014-12-31,0.941853,0.000000,-0.024662,0.684039,-0.036053,0.000000,0.000000,,-0.001145,0.063184,-0.018127,-0.011019,0.196540,-0.056066,0.011643,0.684039,0.017022,0.000000,0.000000,,0.002224,0.063184,0.035195,0.002994,0.196540,0.015234
2015-03-31,0.932602,0.231367,0.007427,0.423028,0.017557,0.000037,0.224992,0.000164,0.004881,0.222745,0.021913,0.000917,0.064354,0.014253,0.004252,0.423028,0.010052,0.002564,0.224992,0.011396,-0.002503,0.222745,-0.011235,0.000527,0.064354,0.008193
2015-06-30,0.933714,0.054916,0.007690,0.255015,0.030154,0.001412,0.056138,0.025152,0.003670,0.209521,0.017517,0.008050,0.414315,0.019430,0.013329,0.255015,0.052269,0.002170,0.056138,0.038662,0.007519,0.209521,0.035888,0.016306,0.414315,0.039356
2015-09-30,0.908178,0.359733,0.004965,0.192068,0.025849,0.021357,0.360775,0.059196,0.005328,0.072806,0.073176,0.012681,0.283741,0.044694,-0.001318,0.192068,-0.006863,-0.020092,0.360775,-0.055692,-0.001240,0.072806,-0.017028,-0.006287,0.283741,-0.022159
2015-12-31,0.928704,0.170490,-0.004371,0.055298,-0.079041,-0.013537,0.171523,-0.078925,-0.019932,0.225912,-0.088228,-0.053376,0.477951,-0.111676,0.000771,0.055298,0.013946,0.001345,0.171523,0.007842,0.009038,0.225912,0.040006,0.014639,0.477951,0.030628
2016-03-31,0.924012,0.110451,0.005345,0.487484,0.010964,0.002276,0.109633,0.020765,0.000921,0.163411,0.005639,0.006430,0.167432,0.038404,-0.005588,0.487484,-0.011464,-0.006866,0.109633,-0.062629,-0.003350,0.163411,-0.020499,-0.007189,0.167432,-0.042938
2016-06-30,0.933226,0.160364,0.005190,0.259976,0.019963,0.006626,0.161494,0.041031,0.006642,0.119169,0.055733,0.015870,0.395988,0.040076,-0.002731,0.259976,-0.010506,0.001173,0.161494,0.007266,-0.002904,0.119169,-0.024370,-0.000871,0.395988,-0.002199
2016-09-30,0.939401,0.000000,-0.004567,0.389543,-0.011724,0.000000,0.000000,,0.000000,0.000000,,-0.013332,0.553282,-0.024097,0.016591,0.389543,0.042591,0.000000,0.000000,,0.000000,0.000000,,0.014941,0.553282,0.027004
2016-12-31,0.927013,0.011837,0.002568,0.252228,0.010183,0.000263,0.011695,0.022447,0.003223,0.200560,0.016072,0.013826,0.465539,0.029698,-0.005522,0.252228,-0.021893,0.000114,0.011695,0.009761,0.001989,0.200560,0.009917,0.001957,0.465539,0.004203
2017-03-31,0.921615,0.147700,-0.005251,0.528802,-0.009929,0.000348,0.148328,0.002343,-0.000702,0.094822,-0.007402,-0.002240,0.152955,-0.014643,-0.005722,0.528802,-0.010820,-0.002063,0.148328,-0.013910,0.002545,0.094822,0.026843,-0.001284,0.152955,-0.008393
2017-06-30,0.929289,0.102557,0.003000,0.310332,0.009667,0.002867,0.099541,0.028802,0.013391,0.454786,0.029445,0.002281,0.067339,0.033873,0.005108,0.310332,0.016460,0.001420,0.099541,0.014266,0.008621,0.454786,0.018956,0.002394,0.067339,0.035554
2017-09-30,0.900404,0.257932,0.002980,0.145334,0.020503,0.003853,0.257928,0.014937,0.008077,0.316280,0.025537,0.005920,0.182911,0.032364,0.000555,0.145334,0.003820,0.009014,0.257928,0.034947,0.005610,0.316280,0.017738,0.004366,0.182911,0.023867
2017-12-31,0.911141,0.273286,0.013296,0.238939,0.055645,0.012004,0.274471,0.043736,0.012798,0.249607,0.051273,0.004931,0.149962,0.032881,0.002246,0.238939,0.009400,-0.005341,0.274471,-0.019458,0.002098,0.249607,0.008404,0.001119,0.149962,0.007463
2018-03-31,0.912956,0.141530,0.003542,0.236273,0.014993,-0.001455,0.141941,-0.010249,-0.000400,0.234628,-0.001704,0.004905,0.302224,0.016228,0.003890,0.236273,0.016464,0.002241,0.141941,0.015787,0.009689,0.234628,0.041295,0.005491,0.302224,0.018170
2018-06-30,0.915953,0.053529,0.015108,0.409927,0.036856,0.001103,0.054309,0.020318,0.011353,0.247790,0.045815,0.004999,0.205635,0.024312,-0.002469,0.409927,-0.006023,0.000319,0.054309,0.005865,-0.003394,0.247790,-0.013697,0.001949,0.205635,0.009480
2018-09-30,0.921123,0.000000,-0.033952,0.438353,-0.077454,0.000000,0.000000,,-0.016363,0.195061,-0.083886,-0.016676,0.289565,-0.057590,-0.034928,0.438353,-0.079680,0.000000,0.000000,,-0.014840,0.195061,-0.076079,-0.018946,0.289565,-0.065429
2018-12-31,0.893325,0.112082,-0.001541,0.097372,-0.015826,0.013999,0.113555,0.123279,0.004467,0.112855,0.039583,0.036417,0.571689,0.063700,0.002734,0.097372,0.028078,0.002639,0.113555,0.023240,0.003038,0.112855,0.026920,0.026539,0.571689,0.046422
2019-03-31,0.905148,0.089132,0.016922,0.515557,0.032823,0.000956,0.089877,0.010634,0.001277,0.021406,0.059663,0.004281,0.280961,0.015236,0.049413,0.515557,0.095845,0.003106,0.089877,0.034560,0.001145,0.021406,0.053498,0.016065,0.280961,0.057179
2019-06-30,0.889173,0.434114,0.000662,0.096574,0.006855,0.010173,0.435540,0.023357,0.010325,0.268617,0.038437,0.002139,0.090989,0.023513,0.003857,0.096574,0.039935,0.014288,0.435540,0.032805,0.008551,0.268617,0.031835,0.004918,0.090989,0.054046
2019-09-30,0.894002,0.285801,-0.002331,0.171131,-0.013621,0.003333,0.288684,0.011547,-0.001187,0.065265,-0.018182,0.000776,0.370883,0.002093,0.003919,0.171131,0.022901,0.011510,0.288684,0.039872,0.000707,0.065265,0.010831,0.009237,0.370883,0.024906
2019-12-31,0.910237,0.022831,0.014287,0.366389,0.038994,-0.000664,0.022980,-0.028894,0.002659,0.074941,0.035474,0.010304,0.449473,0.022924,-0.082182,0.366389,-0.224304,-0.012544,0.022980,-0.545871,-0.022433,0.074941,-0.299338,-0.124653,0.449473,-0.277332
2020-03-31,0.906159,0.000000,0.077718,0.739394,0.105111,0.000000,0.000000,,0.000000,0.000000,,0.007738,0.169356,0.045693,0.011633,0.739394,0.015733,0.000000,0.000000,,0.000000,0.000000,,-0.002618,0.169356,-0.015460
2020-06-30,0.925937,0.142145,0.032859,0.530067,0.061991,0.003842,0.138414,0.027760,0.006573,0.075861,0.086649,0.009749,0.183629,0.053093,-0.044082,0.530067,-0.083163,-0.000973,0.138414,-0.007030,-0.005977,0.075861,-0.078790,-0.002921,0.183629,-0.015909
2020-09-30,0.894105,0.142983,0.004246,0.094538,0.044913,0.006465,0.140661,0.045963,0.034595,0.499545,0.069252,0.008506,0.160641,0.052951,0.001171,0.094538,0.012388,0.001982,0.140661,0.014089,0.033940,0.499545,0.067943,0.005458,0.160641,0.033976
2020-12-31,0.890827,0.091663,0.005108,0.497583,0.010266,0.006008,0.089999,0.066760,0.016147,0.228173,0.070767,-0.001689,0.076222,-0.022160,0.019854,0.497583,0.039901,0.002262,0.089999,0.025138,0.014303,0.228173,0.062687,0.003090,0.076222,0.040544
2021-03-31,0.871938,0.064322,0.006902,0.182159,0.037890,0.000782,0.065112,0.012009,0.009004,0.087135,0.103334,0.040648,0.539623,0.075326,-0.007896,0.182159,-0.043348,-0.001014,0.065112,-0.015570,0.003272,0.087135,0.037553,0.028307,0.539623,0.052457
2021-06-30,0.878740,0.550355,-0.003702,0.112594,-0.032876,-0.004734,0.555131,-0.008529,-0.000919,0.079227,-0.011605,-0.000520,0.134446,-0.003868,-0.004596,0.112594,-0.040818,-0.007235,0.555131,-0.013033,-0.000247,0.079227,-0.003113,-0.004332,0.134446,-0.032223
2021-09-30,0.878268,0.231387,0.014804,0.282041,0.052488,0.005690,0.233715,0.024346,0.001397,0.186006,0.007513,0.007635,0.179376,0.042562,-0.007658,0.282041,-0.027153,-0.007507,0.233715,-0.032118,0.002938,0.186006,0.015795,0.001047,0.179376,0.005837
2021-12-31,0.876178,0.161933,-0.023783,0.291570,-0.081568,-0.004996,0.161440,-0.030944,-0.011165,0.196150,-0.056923,-0.004985,0.230718,-0.021606,0.039316,0.291570,0.134841,0.011753,0.161440,0.072802,0.030445,0.196150,0.155211,0.023749,0.230718,0.102934
2022-03-31,0.880759,0.070554,0.000442,0.239979,0.001840,-0.004167,0.071073,-0.058633,0.001025,0.029933,0.034243,-0.036598,0.544726,-0.067186,-0.022114,0.239979,-0.092151,-0.006555,0.071073,-0.092224,-0.001300,0.029933,-0.043431,-0.056360,0.544726,-0.103464
2022-06-30,0.884022,0.593691,0.003679,0.103559,0.035521,0.025723,0.600042,0.042868,-0.001284,0.112010,-0.011459,0.000096,0.072051,0.001335,-0.000560,0.103559,-0.005407,-0.006597,0.600042,-0.010994,-0.000765,0.112010,-0.006827,-0.001216,0.072051,-0.016880
2022-09-30,0.910599,0.000000,-0.003215,0.391638,-0.008209,0.000000,0.000000,,0.009613,0.178812,0.053762,-0.010756,0.343041,-0.031354,-0.030016,0.391638,-0.076641,0.000000,0.000000,,-0.010500,0.178812,-0.058722,-0.027478,0.343041,-0.080102
2022-12-31,0.916888,0.084213,0.012683,0.270437,0.046898,0.008235,0.084719,0.097206,0.009449,0.186683,0.050614,0.029050,0.377426,0.076968,-0.010400,0.270437,-0.038456,-0.000169,0.084719,-0.001989,-0.017873,0.186683,-0.095739,0.002173,0.377426,0.005757
2023-03-31,0.916727,0.215331,-0.004444,0.298866,-0.014871,-0.001521,0.217581,-0.006990,0.000000,0.000000,,0.008288,0.403583,0.020537,0.006306,0.298866,0.021101,0.010061,0.217581,0.046242,0.000000,0.000000,,0.007295,0.403583,0.018074
2023-06-30,0.916586,0.193371,0.014978,0.414176,0.036163,0.006599,0.192742,0.034239,0.003476,0.085275,0.040757,0.001730,0.227640,0.007600,-0.013142,0.414176,-0.031731,-0.002910,0.192742,-0.015096,-0.001002,0.085275,-0.011754,-0.004706,0.227640,-0.020673
2023-09-30,0.914161,0.155020,-0.001365,0.147085,-0.009279,-0.001829,0.154026,-0.011872,0.001786,0.417031,0.004283,-0.001500,0.197800,-0.007584,0.005774,0.147085,0.039259,0.004468,0.154026,0.029011,0.022698,0.417031,0.054427,0.009857,0.197800,0.049834
2024-06-30,0.901092,0.011668,0.012302,0.272891,0.045080,0.000644,0.010856,0.059347,0.000000,0.000000,,0.014794,0.618054,0.023936,-0.005468,0.272891,-0.020036,0.000524,0.010856,0.048222,0.000000,0.000000,,0.001800,0.618054,0.002913
2024-09-30,0.878974,0.101339,0.005495,0.403282,0.013625,0.001362,0.101131,0.013464,0.000000,0.000000,,0.013325,0.375515,0.035483,-0.001061,0.403282,-0.002632,-0.000768,0.101131,-0.007595,0.000000,0.000000,,-0.003162,0.375515,-0.008421
2024-12-31,0.856546,0.000000,0.004876,0.397430,0.012268,0.000000,0.000000,,0.004314,0.086351,0.049964,0.008147,0.374152,0.021775,0.005444,0.397430,0.013699,0.000000,0.000000,,0.002928,0.086351,0.033910,0.007069,0.374152,0.018894
2025-03-31,0.834212,0.086725,-0.020309,0.328541,-0.061814,-0.003548,0.085136,-0.041669,0.000000,0.000000,,-0.015091,0.421166,-0.035831,0.001393,0.328541,0.004241,-0.001567,0.085136,-0.018404,0.000000,0.000000,,0.002433,0.421166,0.005776
2025-06-30,0.817896,0.083218,0.005236,0.338375,0.015475,-0.002167,0.083896,-0.025833,0.000000,0.000000,,0.000889,0.396854,0.002239,0.014787,0.338475,0.043688,0.003762,0.083921,0.044834,0.000000,0.000000,,0.004348,0.396881,0.010955
2025-09-30,0.798872,0.306446,0.000000,0.000000,,-0.003181,0.308070,-0.010325,0.003083,0.265240,0.011623,0.005327,0.228016,0.023362,0.000000,0.000000,,0.003026,0.308070,0.009823,-0.010931,0.265240,-0.041211,0.001915,0.228016,0.008397
2025-12-31,0.811149,0.347779,0.002525,0.162538,0.015532,0.019364,0.349246,0.055445,0.000000,0.000000,,0.004457,0.302749,0.014723,-0.005065,0.162538,-0.031159,-0.013782,0.349246,-0.039461,0.000000,0.000000,,0.000344,0.302749,0.001136
2026-03-31,0.828094,0.300353,-0.001720,0.085198,-0.020192,0.043236,0.308300,0.140239,0.010867,0.122958,0.088380,0.018100,0.320395,0.056494,-0.001686,0.085198,-0.019789,-0.011092,0.308300,-0.035977,0.003594,0.122958,0.029228,0.008352,0.320395,0.026067
