report_date,map_coverage,improving_weight,A_1_10_Leading_contrib,A_1_10_Leading_weight,A_1_10_Leading_ret,A_1_10_Improving_contrib,A_1_10_Improving_weight,A_1_10_Improving_ret,A_1_10_Weakening_contrib,A_1_10_Weakening_weight,A_1_10_Weakening_ret,A_1_10_Lagging_contrib,A_1_10_Lagging_weight,A_1_10_Lagging_ret,E_45_55_Leading_contrib,E_45_55_Leading_weight,E_45_55_Leading_ret,E_45_55_Improving_contrib,E_45_55_Improving_weight,E_45_55_Improving_ret,E_45_55_Weakening_contrib,E_45_55_Weakening_weight,E_45_55_Weakening_ret,E_45_55_Lagging_contrib,E_45_55_Lagging_weight,E_45_55_Lagging_ret
2013-09-30,0.109640,0.008420,0.001065,0.055820,0.019085,-0.000525,0.008576,-0.061188,0.000000,0.000000,,0.001008,0.041830,0.024104,0.000511,0.055820,0.009158,0.000070,0.008576,0.008165,0.000000,0.000000,,-0.000191,0.041830,-0.004560
2013-12-31,0.106895,0.000000,0.000174,0.032859,0.005296,0.000000,0.000000,,0.000052,0.007993,0.006540,0.002000,0.063128,0.031678,-0.000391,0.032859,-0.011890,0.000000,0.000000,,-0.000144,0.007993,-0.018007,-0.001211,0.063128,-0.019181
2014-03-31,0.107759,0.000000,-0.001573,0.043424,-0.036223,0.000000,0.000000,,-0.001360,0.045885,-0.029633,-0.000615,0.016711,-0.036809,0.000498,0.043424,0.011476,0.000000,0.000000,,0.000950,0.045885,0.020712,-0.000003,0.016711,-0.000156
2014-06-30,0.109610,0.025470,-0.000219,0.004592,-0.047659,-0.000259,0.025029,-0.010365,-0.000419,0.037485,-0.011171,0.000058,0.041228,0.001402,-0.000171,0.004592,-0.037340,0.000249,0.025029,0.009947,-0.000261,0.037485,-0.006958,-0.001097,0.041228,-0.026597
2014-09-30,0.093433,0.007400,0.000000,0.000000,,-0.000140,0.006763,-0.020752,0.000000,0.000000,,-0.005931,0.085543,-0.069330,0.000000,0.000000,,-0.000041,0.006763,-0.006105,0.000000,0.000000,,-0.001954,0.085543,-0.022837
2014-12-31,0.104979,0.026269,0.000113,0.034902,0.003227,-0.001875,0.025455,-0.073654,0.000029,0.005784,0.005078,0.000199,0.037735,0.005285,0.001395,0.034902,0.039968,0.000283,0.025455,0.011121,-0.000077,0.005784,-0.013321,-0.000683,0.037735,-0.018112
2015-03-31,0.112515,0.024019,0.001256,0.084695,0.014827,0.000785,0.023568,0.033301,0.000000,0.000000,,-0.000008,0.003432,-0.002256,0.000480,0.084695,0.005671,-0.000234,0.023568,-0.009940,0.000000,0.000000,,-0.000006,0.003432,-0.001798
2015-06-30,0.106997,0.022239,0.000087,0.075935,0.001149,-0.000114,0.021794,-0.005226,0.000000,0.000000,,-0.000208,0.007750,-0.026774,0.002645,0.075935,0.034831,0.000389,0.021794,0.017854,0.000000,0.000000,,0.000266,0.007750,0.034321
2015-09-30,0.108678,0.007619,0.000705,0.016360,0.043083,0.001549,0.007604,0.203666,-0.000091,0.028273,-0.003201,0.006072,0.054857,0.110697,-0.000247,0.016360,-0.015106,-0.002089,0.007604,-0.274756,-0.000228,0.028273,-0.008056,-0.004331,0.054857,-0.078951
2015-12-31,0.101567,0.023608,-0.001996,0.028310,-0.070509,-0.001980,0.023330,-0.084872,-0.000315,0.003061,-0.102871,-0.007166,0.045348,-0.158016,0.000433,0.028310,0.015300,0.000737,0.023330,0.031578,0.000003,0.003061,0.000895,0.000941,0.045348,0.020756
2016-03-31,0.102544,0.014453,0.000427,0.044832,0.009521,0.000536,0.013468,0.039780,-0.000141,0.007898,-0.017828,0.001494,0.033985,0.043969,-0.000201,0.044832,-0.004489,-0.000350,0.013468,-0.025985,0.000272,0.007898,0.034474,-0.001796,0.033985,-0.052844
2016-06-30,0.094753,0.000000,0.001924,0.049739,0.038679,0.000000,0.000000,,0.002278,0.035799,0.063630,0.000214,0.006718,0.031788,-0.000734,0.049739,-0.014749,0.000000,0.000000,,-0.001065,0.035799,-0.029743,-0.000027,0.006718,-0.004017
2016-09-30,0.093929,0.000000,-0.000061,0.008333,-0.007344,0.000000,0.000000,,-0.001984,0.058938,-0.033659,-0.000902,0.024619,-0.036618,0.000347,0.008333,0.041694,0.000000,0.000000,,0.001226,0.058938,0.020803,0.001243,0.024619,0.050492
2016-12-31,0.111818,0.018522,0.000341,0.051969,0.006569,0.000363,0.018312,0.019839,0.000000,0.000000,,0.001718,0.038965,0.044082,-0.001571,0.051969,-0.030230,0.000166,0.018312,0.009062,0.000000,0.000000,,0.000345,0.038965,0.008853
2017-03-31,0.099091,0.013598,-0.000113,0.037527,-0.003021,-0.000122,0.013075,-0.009364,-0.000660,0.027905,-0.023650,-0.000403,0.018566,-0.021682,0.001299,0.037527,0.034617,0.000297,0.013075,0.022725,0.000003,0.027905,0.000092,0.000109,0.018566,0.005850
2017-06-30,0.094682,0.000000,0.000764,0.065829,0.011604,0.000000,0.000000,,0.000650,0.010540,0.061629,0.000098,0.015418,0.006382,0.002012,0.065829,0.030559,0.000000,0.000000,,0.000318,0.010540,0.030139,0.000672,0.015418,0.043590
2017-09-30,0.092712,0.011782,0.000899,0.030788,0.029196,-0.000243,0.010121,-0.024039,0.000488,0.034635,0.014092,0.000489,0.014951,0.032708,0.000544,0.030788,0.017684,0.000005,0.010121,0.000494,-0.000327,0.034635,-0.009445,0.000419,0.014951,0.027998
2017-12-31,0.103716,0.000000,0.002013,0.042239,0.047663,0.000000,0.000000,,0.000245,0.014522,0.016894,0.001371,0.044813,0.030585,0.000052,0.042239,0.001230,0.000000,0.000000,,-0.000326,0.014522,-0.022429,0.000637,0.044813,0.014207
2018-03-31,0.108203,0.018329,-0.000145,0.044764,-0.003249,0.000228,0.018659,0.012228,0.000038,0.005817,0.006482,0.000585,0.036535,0.016002,0.001905,0.044764,0.042562,-0.000686,0.018659,-0.036755,-0.000002,0.005817,-0.000375,0.000237,0.036535,0.006485
2018-06-30,0.113070,0.000000,0.001666,0.047417,0.035129,0.000000,0.000000,,0.000000,0.000000,,0.000772,0.061955,0.012457,0.000076,0.047417,0.001600,0.000000,0.000000,,0.000000,0.000000,,0.000726,0.061955,0.011719
2018-09-30,0.104574,0.000000,-0.004092,0.051981,-0.078723,0.000000,0.000000,,0.000000,0.000000,,-0.003255,0.049551,-0.065682,-0.004015,0.051981,-0.077239,0.000000,0.000000,,0.000000,0.000000,,-0.005761,0.049551,-0.116268
