report_date,q,n_names,coverage,A_1_10_port,A_1_10_spy,B_1_5_port,B_1_5_spy,C_1_21_port,C_1_21_spy,D_35_45_port,D_35_45_spy,E_45_55_port,E_45_55_spy,A_1_10_market,A_1_10_sector,A_1_10_subsector,A_1_10_idio,E_45_55_market,E_45_55_sector,E_45_55_subsector,E_45_55_idio,A_1_10_excess,B_1_5_excess,C_1_21_excess,D_35_45_excess,E_45_55_excess
2013-09-30,3,517,0.803819,0.016615,0.017440,0.000257,-0.003452,0.050354,0.054521,0.008272,-0.001666,0.007104,-0.010414,0.017667,-0.000716,-0.001602,0.001460,-0.010487,0.002971,-0.000125,0.014723,-0.000825,0.003709,-0.004167,0.009938,0.017518
2013-12-31,4,521,0.800472,0.004857,-0.000162,-0.004841,-0.006335,-0.028386,-0.035248,0.022177,0.022596,-0.015953,-0.006156,-0.000551,0.001156,0.001073,0.002471,-0.006157,-0.001596,-0.005822,-0.002656,0.005019,0.001494,0.006862,-0.000419,-0.009797
2014-03-31,1,514,0.788998,-0.034592,-0.021763,-0.025711,-0.014277,0.004021,0.006952,0.031943,0.023577,0.024599,0.017946,-0.023671,-0.001061,-0.006041,-0.003543,0.020598,-0.002693,0.006052,-0.000638,-0.012829,-0.011434,-0.002931,0.008366,0.006653
2014-06-30,2,514,0.785915,0.005634,0.007715,-0.001536,0.002657,0.008592,0.006438,0.013739,0.015910,-0.007267,0.000697,0.008793,0.001035,-0.004228,0.000254,0.000755,-0.000273,-0.000614,-0.006994,-0.002081,-0.004193,0.002154,-0.002171,-0.007965
2014-09-30,3,518,0.799673,-0.060809,-0.047305,-0.022577,-0.019084,0.004216,0.005532,0.015324,0.017224,-0.033412,-0.025592,-0.052203,-0.001929,0.000385,-0.007737,-0.028519,-0.000370,0.002924,-0.007893,-0.013505,-0.003493,-0.001316,-0.001900,-0.007820
2014-12-31,4,525,0.771684,-0.038726,-0.031721,0.004307,0.001751,-0.002531,-0.017612,-0.023058,-0.013634,0.017629,0.016565,-0.034922,0.002706,-0.000545,-0.006154,0.017681,-0.001059,0.000977,0.000311,-0.007005,0.002556,0.015081,-0.009424,0.001064
2015-03-31,1,528,0.750438,0.015434,0.019377,0.005587,0.007509,0.007331,0.009834,-0.008652,-0.013613,0.004691,0.004059,0.020195,0.000789,-0.002189,-0.003124,0.004370,-0.002150,0.000601,0.001913,-0.003943,-0.001922,-0.002502,0.004962,0.000633
2015-06-30,2,549,0.774386,0.021116,0.023124,-0.009481,-0.006412,0.026563,0.024144,-0.075223,-0.069387,0.041970,0.041508,0.023969,-0.002965,-0.001226,0.001527,0.043034,-0.000205,0.002551,-0.003550,-0.002008,-0.003069,0.002419,-0.005836,0.000462
2015-09-30,3,545,0.783522,0.051686,0.039973,0.052652,0.040599,0.096634,0.089757,0.006133,0.000682,-0.032035,-0.017600,0.040695,0.004446,0.000994,0.004370,-0.018248,-0.004074,-0.004426,-0.006334,0.011713,0.012053,0.006877,0.005452,-0.014435
2015-12-31,4,547,0.785995,-0.099591,-0.078775,-0.070227,-0.058616,-0.098684,-0.067249,0.028255,0.018586,0.027879,0.025049,-0.079676,-0.001231,-0.008375,-0.011335,0.026906,-0.000882,-0.001101,0.002617,-0.020816,-0.011611,-0.031435,0.009670,0.002830
2016-03-31,1,548,0.781487,0.016492,0.012116,-0.003730,-0.007639,0.009565,0.003941,0.041837,0.026207,-0.024870,-0.015720,0.012425,0.002380,-0.000185,0.002096,-0.016417,-0.000154,-0.001561,-0.007083,0.004376,0.003909,0.005624,0.015630,-0.009150
2016-06-30,2,568,0.827711,0.036966,0.030313,0.019099,0.015133,0.055897,0.035612,0.002090,-0.002239,-0.005383,-0.013349,0.031390,0.002770,0.002373,0.000152,-0.014117,-0.001650,0.002545,0.007999,0.006653,0.003967,0.020285,0.004329,0.007967
2016-09-30,3,564,0.820486,-0.019031,-0.014702,-0.003887,-0.005825,-0.019740,-0.017337,0.003839,0.009179,0.031116,0.032680,-0.015751,-0.001054,-0.002096,-0.000092,0.034745,-0.001550,-0.001802,-0.000330,-0.004329,0.001937,-0.002403,-0.005339,-0.001564
2016-12-31,4,566,0.839072,0.022887,0.012168,0.021761,0.013108,0.035029,0.018297,-0.007763,0.000296,-0.001391,-0.007176,0.013010,0.003715,0.002271,0.003539,-0.007474,0.002058,0.000972,0.002899,0.010718,0.008654,0.016731,-0.008059,0.005785
2017-03-31,1,566,0.856228,-0.008297,-0.004963,-0.004976,-0.002290,0.019024,0.012853,0.022405,0.020562,-0.005570,0.000841,-0.005270,0.000161,-0.002012,-0.001070,0.000858,-0.001911,-0.002519,-0.001917,-0.003334,-0.002685,0.006171,0.001843,-0.006410
2017-06-30,2,599,0.875796,0.023238,0.015426,0.003254,0.002357,0.029499,0.022829,0.027127,0.013802,0.018640,0.013598,0.016544,0.002523,0.000763,0.003108,0.015331,-0.000321,-0.000044,0.003702,0.007812,0.000897,0.006670,0.013324,0.005042
2017-09-30,3,603,0.884257,0.022500,0.014807,0.017062,0.012499,0.027098,0.021972,0.003052,0.021344,0.021853,0.019327,0.016881,0.000687,-0.000948,0.005762,0.021865,0.001073,-0.003253,0.002212,0.007693,0.004563,0.005126,-0.018292,0.002526
2017-12-31,4,630,0.897165,0.047267,0.037885,0.040655,0.026455,0.070174,0.056359,0.013038,0.005085,-0.000193,-0.005010,0.041857,0.003204,-0.002740,0.004890,-0.004891,0.000555,0.001788,0.002410,0.009382,0.014199,0.013815,0.007953,0.004817
2018-03-31,1,621,0.916503,0.005480,0.007600,-0.017836,-0.013035,-0.007005,0.005168,0.025681,0.010624,0.022810,0.015356,0.007515,-0.000038,-0.001538,-0.000245,0.015772,0.001057,0.003702,0.002106,-0.002120,-0.004801,-0.012173,0.015057,0.007454
